Kategori: Tüm kategoriler

Hafta,döviz hesabı: (Türkiye)
2018-01-07,10
2018-01-14,17
2018-01-21,12
2018-01-28,13
2018-02-04,5
2018-02-11,7
2018-02-18,18
2018-02-25,7
2018-03-04,5
2018-03-11,0
2018-03-18,8
2018-03-25,5
2018-04-01,11
2018-04-08,21
2018-04-15,13
2018-04-22,17
2018-04-29,5
2018-05-06,26
2018-05-13,30
2018-05-20,49
2018-05-27,21
2018-06-03,24
2018-06-10,32
2018-06-17,38
2018-06-24,29
2018-07-01,14
2018-07-08,29
2018-07-15,19
2018-07-22,16
2018-07-29,37
2018-08-05,92
2018-08-12,61
2018-08-19,28
2018-08-26,40
2018-09-02,53
2018-09-09,43
2018-09-16,17
2018-09-23,27
2018-09-30,16
2018-10-07,34
2018-10-14,30
2018-10-21,19
2018-10-28,33
2018-11-04,16
2018-11-11,30
2018-11-18,26
2018-11-25,29
2018-12-02,32
2018-12-09,16
2018-12-16,16
2018-12-23,16
2018-12-30,19
2019-01-06,18
2019-01-13,43
2019-01-20,24
2019-01-27,45
2019-02-03,32
2019-02-10,23
2019-02-17,18
2019-02-24,8
2019-03-03,22
2019-03-10,46
2019-03-17,50
2019-03-24,100
2019-03-31,30
2019-04-07,13
2019-04-14,32
2019-04-21,26
2019-04-28,25
2019-05-05,47
2019-05-12,35
2019-05-19,24
2019-05-26,46
2019-06-02,20
2019-06-09,19
2019-06-16,27
2019-06-23,27
2019-06-30,20
2019-07-07,14
2019-07-14,26
2019-07-21,25
2019-07-28,34
2019-08-04,35
2019-08-11,19
2019-08-18,30
2019-08-25,22
2019-09-01,16
2019-09-08,25
2019-09-15,16
2019-09-22,31
2019-09-29,15
2019-10-06,26
2019-10-13,15
2019-10-20,15
2019-10-27,18
2019-11-03,31
2019-11-10,15
2019-11-17,21
2019-11-24,25
2019-12-01,17
2019-12-08,20
2019-12-15,22
2019-12-22,21
2019-12-29,24
2020-01-05,12
2020-01-12,17
2020-01-19,24
2020-01-26,14
2020-02-02,16
2020-02-09,16
2020-02-16,16
2020-02-23,17
2020-03-01,9
2020-03-08,18
2020-03-15,24
2020-03-22,10
2020-03-29,21
2020-04-05,19
2020-04-12,13
2020-04-19,24
2020-04-26,22
2020-05-03,20
2020-05-10,9
2020-05-17,4
2020-05-24,25
2020-05-31,9
2020-06-07,18
2020-06-14,9
2020-06-21,7
2020-06-28,12
2020-07-05,20
2020-07-12,28
2020-07-19,34
2020-07-26,25
2020-08-02,54
2020-08-09,29
2020-08-16,17
2020-08-23,27
2020-08-30,18
2020-09-06,19
2020-09-13,21
2020-09-20,29
2020-09-27,20
2020-10-04,21
2020-10-11,34
2020-10-18,31
2020-10-25,9
2020-11-01,40
2020-11-08,38
2020-11-15,23
2020-11-22,15
2020-11-29,20
