Kategori: Tüm kategoriler

Hafta,gram altın: (Türkiye)
2018-01-07,5
2018-01-14,6
2018-01-21,6
2018-01-28,5
2018-02-04,6
2018-02-11,5
2018-02-18,5
2018-02-25,4
2018-03-04,5
2018-03-11,5
2018-03-18,7
2018-03-25,8
2018-04-01,7
2018-04-08,11
2018-04-15,9
2018-04-22,7
2018-04-29,9
2018-05-06,9
2018-05-13,8
2018-05-20,17
2018-05-27,11
2018-06-03,9
2018-06-10,10
2018-06-17,11
2018-06-24,12
2018-07-01,11
2018-07-08,12
2018-07-15,11
2018-07-22,10
2018-07-29,13
2018-08-05,34
2018-08-12,39
2018-08-19,15
2018-08-26,21
2018-09-02,17
2018-09-09,16
2018-09-16,15
2018-09-23,14
2018-09-30,14
2018-10-07,13
2018-10-14,16
2018-10-21,13
2018-10-28,12
2018-11-04,11
2018-11-11,10
2018-11-18,10
2018-11-25,10
2018-12-02,11
2018-12-09,9
2018-12-16,9
2018-12-23,9
2018-12-30,11
2019-01-06,12
2019-01-13,12
2019-01-20,11
2019-01-27,11
2019-02-03,9
2019-02-10,9
2019-02-17,12
2019-02-24,10
2019-03-03,12
2019-03-10,11
2019-03-17,17
2019-03-24,22
2019-03-31,13
2019-04-07,14
2019-04-14,13
2019-04-21,14
2019-04-28,12
2019-05-05,18
2019-05-12,14
2019-05-19,11
2019-05-26,12
2019-06-02,11
2019-06-09,13
2019-06-16,15
2019-06-23,19
2019-06-30,17
2019-07-07,15
2019-07-14,11
2019-07-21,11
2019-07-28,13
2019-08-04,14
2019-08-11,17
2019-08-18,17
2019-08-25,21
2019-09-01,19
2019-09-08,17
2019-09-15,15
2019-09-22,14
2019-09-29,15
2019-10-06,17
2019-10-13,17
2019-10-20,13
2019-10-27,13
2019-11-03,14
2019-11-10,14
2019-11-17,13
2019-11-24,12
2019-12-01,12
2019-12-08,13
2019-12-15,16
2019-12-22,18
2019-12-29,19
2020-01-05,30
2020-01-12,19
2020-01-19,18
2020-01-26,20
2020-02-02,19
2020-02-09,20
2020-02-16,32
2020-02-23,39
2020-03-01,32
2020-03-08,35
2020-03-15,40
2020-03-22,31
2020-03-29,27
2020-04-05,28
2020-04-12,37
2020-04-19,29
2020-04-26,25
2020-05-03,29
2020-05-10,26
2020-05-17,25
2020-05-24,25
2020-05-31,28
2020-06-07,28
2020-06-14,23
2020-06-21,27
2020-06-28,25
2020-07-05,30
2020-07-12,24
2020-07-19,37
2020-07-26,58
2020-08-02,100
2020-08-09,80
2020-08-16,59
2020-08-23,40
2020-08-30,36
2020-09-06,31
2020-09-13,33
2020-09-20,35
2020-09-27,35
2020-10-04,34
2020-10-11,31
2020-10-18,27
2020-10-25,43
2020-11-01,52
2020-11-08,87
2020-11-15,50
2020-11-22,41
2020-11-29,37
