Kategori: Tüm kategoriler

Hafta,korona: (Türkiye)
2020-01-05,<1
2020-01-12,<1
2020-01-19,1
2020-01-26,6
2020-02-02,4
2020-02-09,3
2020-02-16,4
2020-02-23,18
2020-03-01,12
2020-03-08,57
2020-03-15,100
2020-03-22,74
2020-03-29,63
2020-04-05,46
2020-04-12,33
2020-04-19,26
2020-04-26,25
2020-05-03,24
2020-05-10,26
2020-05-17,24
2020-05-24,28
2020-05-31,25
2020-06-07,26
2020-06-14,29
2020-06-21,20
2020-06-28,21
2020-07-05,18
2020-07-12,18
2020-07-19,18
2020-07-26,20
2020-08-02,33
2020-08-09,29
2020-08-16,28
2020-08-23,28
2020-08-30,28
2020-09-06,29
2020-09-13,24
2020-09-20,19
2020-09-27,15
2020-10-04,14
2020-10-11,16
2020-10-18,21
2020-10-25,22
2020-11-01,21
2020-11-08,24
2020-11-15,34
2020-11-22,35
2020-11-29,27
2020-12-06,20
2020-12-13,18
2020-12-20,16
2020-12-27,14
2021-01-03,12
2021-01-10,12
2021-01-17,12
2021-01-24,12
2021-01-31,11
2021-02-07,11
2021-02-14,12
2021-02-21,13
2021-02-28,18
2021-03-07,17
2021-03-14,16
2021-03-21,17
2021-03-28,21
2021-04-04,26
